Gandhada Gudi,1973,140 min,8.1,"Action, Drama, Thriller            ",kannada
First Rank Raju,2015,148 min,7.8,"Comedy, Drama            ",kannada
Munduvareda Adhyaya,2021,120 min,7,"Action, Thriller            ",kannada
Mungaru Male 2,2016,159 min,6.8,"Comedy, Drama, Romance            ",kannada
Bettada Jeeva,2011,100 min,8.6,Family            ,kannada
Bharath Stores,2013,92 min,8.3,Drama            ,kannada
Hudugaata,2007,143 min,6.8,"Comedy, Drama            ",kannada
Simple Agi Ondh Love Story,2013,130 min,8,"Comedy, Romance            ",kannada
Dil Rangeela,2014,128 min,6.5,"Comedy, Romance            ",kannada
Chronicles of Hari,2016,120 min,5.9,Drama            ,kannada
Myna,2013,144 min,7,Romance            ,kannada
Malla,2004,147 min,5.9,"Action, Romance            ",kannada
Huccha,2001,178 min,7.3,"Action, Drama, Romance            ",kannada
Godfather,2012,145 min,5.8,Drama            ,kannada
Prathyartha,1999,124 min,7.3,Thriller            ,kannada
Ade Raaga Ade Haadu,1989,159 min,5.6,"Horror, Thriller            ",kannada
Hannele Chiguridaga,1968,161 min,8.5,Drama            ,kannada
Santheyalli Nintha Kabira,2016,140 min,7.4,"Drama, Romance            ",kannada
Raaga,2017,123 min,9,Drama            ,kannada
Amrithadhare,2005,108 min,7.1,Drama            ,kannada
Deveeri,1999,105 min,6.4,Drama            ,kannada
Gauri Ganesha,1991,148 min,8.1,"Comedy, Drama            ",kannada
Jackson,2015,142 min,5,"Drama, Romance            ",kannada
Kanasembo kudureyaneri,2010,104 min,8.2,Drama            ,kannada
Nanu Nanna Hendthi,1985,145 min,7.1,Fantasy            ,kannada
Manaroopa,2019,124 min,6.2,"Adventure, Crime, Family            ",kannada
Aaptharakshaka,2010,130 min,6.7,"Horror, Mystery            ",kannada
Thulasidala,1985,134 min,6.2,"Horror, Thriller            ",kannada
Auto Raja I,1982,114 min,8.1,Drama            ,kannada
The Great Story of Sodabuddi,2016,154 min,6.5,"Crime, Drama, Romance            ",kannada
"#73, Shaanthi Nivaasa",2007,157 min,7.1,"Drama, Family, Musical            ",kannada
Mr. Theertha,2010,137 min,6.4,"Action, Drama, Family            ",kannada
ACT 1978,2020,127 min,7.7,"Action, Drama, Thriller            ",kannada
Ajit,1982,148 min,5.8,Crime            ,kannada
Malammana Pavada,1969,130 min,8.7,Drama            ,kannada
Mufti,2017,152 min,8,"Action, Drama, Thriller            ",kannada
Ishtakamya,2016,134 min,6.1,"Drama, Romance            ",kannada
Seetharama Kalyana,2019,155 min,7.8,"Action, Drama            ",kannada
